	number	city	City	region	population	description	first_letter	last_letter
202	203	гай	Гай	Оренбургская область	33280	"Гай — город в России, административный центр Гайского городского округа Оренбургской области, а также Гайского района (в состав которого не входит, является самостоятельной единицей области).
"	г	а
203	204	галич	Галич	Костромская область	12856	"Га́лич — город (с 1159[2]) в Костромской области России, самостоятельное муниципальное образование — городской округ Галич, административный центр Галичского муниципального района. Город входит в перечень поселений России, имеющих официальный статус «исторических». Население — 16 629[1] чел. (2021). При подсчете численности населения не учитывались те районы и пригороды, которые официально в состав города не входят, относясь официально к сельским поселениям.
"	г	ч
204	205	гатчина	Гатчина	Ленинградская область	94377	"Га́тчина (также использовались другие названия.mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨]) — город (с 1796 года) в России, административный центр Ленинградской области (с марта 2021 года) и Гатчинского муниципального района Ленинградской области. Город воинской славы России (с апреля 2015)[3].
"	г	а
205	206	гвардейск	Гвардейск	Калининградская область	14122	"Гварде́йск (до 7 сентября 1946 Тапиа́у, нем. Tapiau) — город в  Калининградской области России, административный центр Гвардейского муниципального округа.
"	г	к
206	207	гдов	Гдов	Псковская область	3455	"Гдов — город (с 1431[2]) в России, самый северный в Псковской области. Административный центр Гдовского района и городского поселения Гдов.
"	г	в
207	208	геленджик	Геленджик	Краснодарский край	80204	"Геленджи́к — город на юге России, в Краснодарском крае. Административный центр муниципального образования «Город-курорт Геленджик».
"	г	к
208	209	георгиевск	Георгиевск	Ставропольский край	63221	"Гео́ргиевск — город[3], административный центр Георгиевского района (городского округа) Ставропольского края Российской Федерации. Город краевого значения.
"	г	к
209	210	глазов	Глазов	Удмуртия	87762	"Гла́зов (удм. Сингурт, Глазкар[4]) — город на севере Удмуртской Республики России. Административный центр Глазовского района, в состав которого не входит. Образует муниципальное образование город Глазов со статусом городского округа как единственный населённый пункт в его составе.
"	г	в
210	211	голицыно	Голицыно	Московская область	22733	"Голи́цыно — город в Одинцовском городском округе[3] Московской области России.
"	г	о
211	212	горбатов	Горбатов	Нижегородская область	2009	"Горба́тов — город (с 1779[2]) в Павловском муниципальном районе Нижегородской области России[3] в 61 км от Нижнего Новгорода. Административный центр муниципального образования город Горбатов, имеющего статус городского поселения. Самый малочисленный город Нижегородской области: население 2009[1] чел. (2021).
"	г	в
212	213	горно-алтайск	Горно-Алтайск	Алтай	65342	"Го́рно-Алта́йск (алт. Улалу[3]; до 1932 года — Улала, в 1932—1948 годах — Ойрот-Тура) — город на юге Западной Сибири России, столица и единственный город Республики Алтай.
Образует городской округ город Горно-Алтайск.mw-parser-output .ts-Переход img{margin-left:.285714em}.
"	г	к
213	214	горнозаводск	Горнозаводск	Пермский край	11073	"Горнозаво́дск — город в России, самый восточный город Пермского края, административный центр Горнозаводского района (городского округа). Население — 11 073[1] чел. (2021).
"	г	к
214	215	горняк	Горняк	Алтайский край	10112	"Горня́к — город (с 1969 года)[2] в Алтайском крае Российской Федерации. Административный центр Локтевского района. Образует городское поселение город Горняк[3].
"	г	к
215	216	городец	Городец	Нижегородская область	28660	"gorodets-adm.ru
"	г	ц
216	217	городище	Городище	Пензенская область	7796	"Городи́ще — город районного значения в Пензенской области России, административный центр Городищенского района. Образует муниципальное образование город Городище со статусом городского поселения как единственный населённый пункт в его составе[3].
"	г	е
217	218	городовиковск	Городовиковск	Калмыкия	8285	"Городовико́вск (до 1971 года — Башанта́, калм. Бәәшңтә) — город в составе Калмыкии в России.
"	г	к
218	219	гороховец	Гороховец	Владимирская область	12666	"Горохове́ц — город районного подчинения в России. Административный центр Гороховецкого района Владимирской области. Один из древнейших городов области.
"	г	ц
219	220	горячий ключ	Горячий Ключ	Краснодарский край	40903	"Горя́чий Ключ — город краевого подчинения в Краснодарском крае Российской Федерации. 
"	г	ч
220	221	грайворон	Грайворон	Белгородская область	6179	"Гра́йворон — город в Белгородской области России.
"	г	н
221	222	гремячинск	Гремячинск	Пермский край	8360	"Гремя́чинск — город краевого значения в Пермском крае России. Входит в Губахинский муниципальный округ.
"	г	к
222	223	грозный	Грозный	Чечня	328533	"Гро́зный (чечен. Соьлжа-ГӀала — назв. по реке Сунжа (чечен. Соьлжа) + гӀала «город»), в 1998—2000 годах — Джохар (чечен. Dƶoxar) — город на Северном Кавказе, на юге России, столица Чеченской Республики. Город республиканского значения, в состав района не входит, образуя городской округ город Грозный. Город воинской славы России (с 6 апреля 2015 года).
"	г	н
223	224	грязи	Грязи	Липецкая область	43908	"Гря́зи[2] — город[3] в Липецкой области России. Административный центр Грязинского района. Образует городское поселение город Грязи[4].
"	г	и
224	225	грязовец	Грязовец	Вологодская область	14505	"Гря́зовец — город в Вологодской области России. Население — 14 505[2] чел. (2021). Административный центр Грязовецкого района и Грязовецкого муниципального образования.
"	г	ц
225	226	губаха	Губаха	Пермский край	23397	"Губа́ха — город в Пермском крае России. Административный центр Губахинского муниципального округа.
"	г	а
226	227	губкин	Губкин	Белгородская область	85225	"Гу́бкин (до 1939 года — Коробково) — город (с 1955[3]) в России, административный центр Губкинского района (городского округа) Белгородской области. Расположен в северо-восточной части Белгородской области в 20 км к западу от Старого Оскола и в 116 км к северо-востоку от областного центра Белгорода, по обоим берегам реки Осколец, правобережного притока реки Оскол. Население — 85 225[2] чел. (2021). Наравне со Старым Осколом, является самым северным городом области и с ним образует 450-тысячную агломерацию. Центр добычи руд КМА.
"	г	н
227	228	губкинский	Губкинский	Ямало-Ненецкий АО	33273	"Гу́бкинский — город в Ямало-Ненецком автономном округе России.
"	г	и
228	229	гудермес	Гудермес	Чечня	64376	"чечен. Гуьмсе[1]
"	г	с
229	230	гуково	Гуково	Ростовская область	60361	"Гу́ково — город в Ростовской области России. Образует городской округ.
"	г	о
230	231	гулькевичи	Гулькевичи	Краснодарский край	33357	"Гульке́вичи — город на юге России, в Краснодарском крае. Административный центр Гулькевичского района. Образует муниципальное образование Гулькевичское городское поселение.
"	г	и
231	232	гурьевск	Гурьевск	Калининградская область	26760	"Гу́рьевск, до 1947 года — Но́йхаузен, (нем. Neuhausen) — город в Российской Федерации, административный центр Гурьевского района (муниципального округа) Калининградской области.
"	г	к
232	233	гурьевск	Гурьевск	Кемеровская область	22134	"Гу́рьевск — город (рабочий посёлок до 4 декабря 1938 года) в России, административный центр Гурьевского района (в состав не входит) и Гурьевского муниципального округа, до 2019 года Гурьевского городского поселения Кемеровской области.
"	г	к
233	234	гусев	Гусев	Калининградская область	29234	"Гу́сев (до 1946 — Гумби́ннен, нем. Gumbinnen; Гумби́ни, прусск. Gumbinni, Гумби́не, лит. Gumbinė) — город в Калининградской области России.
"	г	в
234	235	гусиноозёрск	Гусиноозёрск	Бурятия	24451	"Гусиноозёрск (бур. Галуута нуур хото[2], Гусиноозёрск хото) — город районного подчинения в России, административный центр Селенгинского района Республики Бурятия и городского поселения «Город Гусиноозёрск». Население — 24 451[1] человек (2021).
"	г	к
235	236	гусь-хрустальный	Гусь-Хрустальный	Владимирская область	51552	"Гусь-Хруста́льный (до 1926 года — Гусь-Мальцевский[3]) — город (с 1931[4]) в России, административный центр Гусь-Хрустального муниципального района (в состав района не входит) и городского округа город Гусь-Хрустальный Владимирской области.
"	г	н
236	237	давлеканово	Давлеканово	Башкортостан	21834	"Давлека́ново (башк. Дәүләкән  слушать) — город в России. Административный центр Давлекановского района Республики Башкортостан. Образует муниципальное образование город Давлеканово со статусом городского поселения как единственный населённый пункт в его составе.[2]
"	д	о
237	238	дагестанские огни	Дагестанские Огни	Дагестан	31412	"Дагеста́нские Огни́ (таб. Дагъустан Огни[5]) — город на юге России, в Республике Дагестан. Город республиканского значения[6].
"	д	и
238	239	далматово	Далматово	Курганская область	11584	"Далма́тово — город в Курганской области России, административный центр Далматовского района.
"	д	о
239	240	дальнегорск	Дальнегорск	Приморский край	33655	"Дальнего́рск — город в Приморском крае России. Административный центр Дальнегорского городского округа.
"	д	к
240	241	дальнереченск	Дальнереченск	Приморский край	23613	"Дальнере́ченск — город в Приморском крае России, административный центр Дальнереченского района и Дальнереченского городского округа.  Благодаря трудам краеведа Г. П. Погребного утвердили дату основания 1859 г. по данным описания станицы Графской. Находится недалеко от границы с КНР. В 2020 году присвоено почётное звание «Город воинской доблести»[3].
"	д	к
241	242	данилов	Данилов	Ярославская область	13677	"Дани́лов — город (с 1777[2]) в России, административный центр Даниловского района Ярославской области, железнодорожная станция Северной железной дороги. Образует одноимённое муниципальное образование городское поселение Данилов как единственный населённый пункт в его составе[3].
"	д	в
242	243	данков	Данков	Липецкая область	19726	"Данко́в — город (с 1957) в России, административный центр Данковского района Липецкой области.
"	д	в
243	244	дегтярск	Дегтярск	Свердловская область	15497	"Дегтя́рск — город в Свердловской области, административный центр городского округа Дегтярск.
"	д	к
244	245	дедовск	Дедовск	Московская область	30731	"Де́довск[4] — город в городском округе Истра Московской области России. Население — 30 731[1] чел. (2021).
"	д	к
245	246	демидов	Демидов	Смоленская область	6326	"Деми́дов — город (с 1776 года[2]) в России, административный центр Демидовского района Смоленской области. До 19 ноября 1918 года носил название Поречье. Переименован в честь погибшего председателя укома (уездного комитета партии) Я. Е. Демидова.
"	д	в
246	247	дербент	Дербент	Дагестан	124953	"Дербе́нт (от перс. دربند‎ Дербенд[8][9][10] — «закрытые (связанные) врата», азерб. Дәрбәнд[11][12], Dərbənd — «узкие врата», Dəmir Qapı — «железные врата»[13], татск. Дербенд, дарг. Чяли[14], лезг. Кьвевар, Цал, Чур, рут. Дербенд[15], таб. Цали, Деребенд[16][17], агул. Цал, Дербенд[18])  — город на юге России в Республике Дагестан, расположен в 125 километрах к юго-востоку от Махачкалы, на берегу Каспийского моря, в отрогах Табасаранских гор Большого Кавказа[19][20]. Вероятно, древнейший действующий город в России.[21]
"	д	т
247	248	десногорск	Десногорск	Смоленская область	25345	"Десного́рск — город (с 1989 года) областного значения Смоленской области России. Административный центр муниципального образования «город Десногорск» со статусом городского округа.
"	д	к
248	249	джанкой	Джанкой	Крым	37014	"Джанко́й (укр. Джанкой, крымскотат. Canköy, Джанкой) — город на севере Крыма. Является центром Джанкойского района, в состав которого не входит, образуя отдельную административную единицу республики — город республиканского значения Джанкой[7].
"	д	о
249	250	дзержинск	Дзержинск	Нижегородская область	218630	"1548 год[2]
"	д	к
250	251	дзержинский	Дзержинский	Московская область	57918	"Дзержи́нский — город в Московской области, находится к юго-востоку от Москвы.
"	д	и
251	252	дивногорск	Дивногорск	Красноярский край	27477	"Дивного́рск — город в Красноярском крае России. Административный центр городского округа город Дивногорск.
"	д	к
252	253	дигора	Дигора	Северная Осетия	9922	"Дигора (дигорск. Дигорæ, иронск. Дигорæ произношение (инф.)) — город в Республике Северная Осетия — Алания. Административный центр Дигорского района. 
"	д	а
253	254	димитровград	Димитровград	Ульяновская область	110968	"Димитровгра́д (до 1972 года — Мелеке́сс) — город в Ульяновской области России. Административный центр Мелекесского района, в который не входит, являясь городом областного значения[6], образует одноимённое муниципальное образование город Димитровград со статусом городского округа как единственный населённый пункт в его составе[7].
"	д	д
254	255	дмитриев	Дмитриев	Курская область	6317	"Дми́триев (во многих официальных документах — Дми́триев-Льго́вский) — город (с 1779[4]) в России, административный центр Дмитриевского района Курской области. Расположен на берегу реки Свапа (бассейн Днепра) в 120 км от Курска на автодороге А-142 «Тросна-Калиновка»; железнодорожная станция на линии Брянск — Льгов. Население — 6317[3] чел. (2021).
"	д	в
255	256	дмитров	Дмитров	Московская область	65574	"Дми́тров — город в Московской области России. Центр и крупнейший населённый пункт Дмитровского городского округа[3]. Город воинской славы (с октября 2008 года)[4]. Население — 65 574[1] чел. (2021).
"	д	в
256	257	дмитровск	Дмитровск	Орловская область	5202	"Дмитро́вск — город (с 1782 года[4]) в Орловской области России, административный центр Дмитровского района. Образует одноимённое муниципальное образование город Дмитровск со статусом городского поселения как единственный населённый пункт в его составе[5].
"	д	к
257	258	дно	Дно	Псковская область	7850	"Дно — город (с 1925[2]) в  Псковской области России. 
"	д	о
258	259	добрянка	Добрянка	Пермский край	28782	"Добря́нка — город краевого значения в Пермском крае России. Административный центр Добрянского городского округа.
"	д	а
259	260	долгопрудный	Долгопрудный	Московская область	120907	"Долгопру́дный — город в Московской области России, расположен в 18 км на север по железной дороге от Савёловского вокзала, в непосредственной близости от Москвы.
"	д	н
260	261	долинск	Долинск	Сахалинская область	11740	"До́линск (с 1905 по 1946 — Отиай; яп. 落合)  — город (с 1946) в России, административный центр городского округа «Долинский» Сахалинской области. Название городу дано Указом Президиума Верховного Совета РСФСР от 15 июня 1946 года. День города отмечается — первая суббота сентября.
"	д	к
261	262	домодедово	Домодедово	Московская область	152404	"Домоде́дово — город в Российской Федерации на юге Московской области, в 37 км от центра Москвы. Образует административно-территориальную единицу (город областного подчинения с административной территорией) и одноимённое муниципальное образование городской округ Домодедово. Население города составляет 152 404[3] чел. (2021), а округа — 217 328[3] чел. (2021).
"	д	о
262	263	донецк	Донецк	Ростовская область	46623	"Доне́цк (до 1955 года Гундоровка, до 1951 года — станица Гундоровская) — город в Ростовской области России. Образует городской округ.
"	д	к
263	264	донской	Донской	Тульская область	63837	"Донско́й — город (с 1939[2]) в Тульской области России. Является городом областного подчинения, образующим муниципальное образование город Донской со статусом городского округа как единственный населённый пункт в его составе[3].
"	д	о
264	265	дорогобуж	Дорогобуж	Смоленская область	9528	"Дорогобу́ж — город в центральной России, административный центр Дорогобужского района Смоленской области. Население — 9528[1] чел. (2021).
"	д	ж
265	266	дрезна	Дрезна	Московская область	12295	"Дре́зна[4][5][6] — город  в Московской области России, входит в Орехово-Зуевский городской округ.
"	д	а
266	267	дубна	Дубна	Московская область	74183	"Правый Берег:
Институтская часть,
Чёрная Речка,
Большая Волга,
"	д	а
267	268	дубовка	Дубовка	Волгоградская область	14779	"Дубо́вка — город (с 1803) в России, административный центр Дубовского района Волгоградской области. Образует городское поселение город Дубовка[3][4]. Основан в 1734 году.mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨]. Население — 14 779[2] (2021)[⇨].
"	д	а
268	269	дудинка	Дудинка	Красноярский край	19556	"Дуди́нка (нен. Тут'ын) — город районного подчинения в Красноярском крае России, административный центр административно-территориальной единицы с особым статусом Таймырского Долгано-Ненецкого района и одноимённого муниципального района (с 2007, ранее — административный центр сложноподчинённого субъекта РФ Таймырский (Долгано-Ненецкий) автономный округ в составе Красноярского края, город окружного значения).
"	д	а
269	270	духовщина	Духовщина	Смоленская область	3990	"Духовщи́на — город в России, административный центр Духовщинского района Смоленской области. Город расположен на реке Востица (бассейн Днепра), в 57 км от Смоленска.
"	д	а
270	271	дюртюли	Дюртюли	Башкортостан	31185	"Дюртюли́ (тат. Дүртөйлe  слушать) — город в России, административный центр Дюртюлинского района Республики Башкортостан, образует городское поселение город Дюртюли.
"	д	и
271	272	дятьково	Дятьково	Брянская область	25255	"Дя́тьково — город в России, административный центр Дятьковского района Брянской области.
"	д	о
272	273	евпатория	Евпатория	Крым	107877	"с V в. до н. э. по конец III века н. э. Керкинитида
"	е	я
273	274	егорьевск	Егорьевск	Московская область	71686	"Его́рьевск — город в Московской области России. Центр административно-территориальной единицы (город областного значения Егорьевск с административной территорией) и одноимённого муниципального образования (городской округ Егорьевск).
"	е	к
274	275	ейск	Ейск	Краснодарский край	82943	"Ейск — город на южном берегу Таганрогского залива, расположенный на юго-западе России. Административный центр Ейского района и Ейского городского поселения Краснодарского края. Со дня основания является морским портом.
"	е	к
275	276	екатеринбург	Екатеринбург	Свердловская область	1544376	"Екатеринбу́рг (с 14 октября 1924 по 23 сентября 1991 — Свердло́вск) — мегаполис в России, административный центр Уральского федерального округа и Свердловской области[6][7]. Образует муниципальное образование «город Екатеринбург» со статусом городского округа[8]. Является крупнейшим экономическим, административным, культурным, научно-образовательным центром Урала. Площадь города составляет 1111,702 км²[1][9].
"	е	г
276	277	елабуга	Елабуга	Татарстан	73630	"Ела́буга (тат. Алабуга, Alabuğa) — город (с 1780 года) в Республике Татарстан России. Административный центр Елабужского района, образует городское поселение город Елабуга.
"	е	а
277	278	елец	Елец	Липецкая область	99875	"Еле́ц — город (с 1146 года)[4] в России, административный центр Елецкого района Липецкой области.
"	е	ц
278	279	елизово	Елизово	Камчатский край	36240	"Е́лизово[3] — город (с 1975 г.) в Камчатском крае России. Административный центр Елизовского района, образует Елизовское городское поселение.
"	е	о
279	280	ельня	Ельня	Смоленская область	8332	"Е́льня — город (с 1776 года[3]) в России, административный центр Ельнинского района Смоленской области. Население — 8332[2] человек (2021).
"	е	я
280	281	еманжелинск	Еманжелинск	Челябинская область	27632	"Еманжели́нск — город, административный центр Еманжелинского района Челябинской области России. Входит в состав агломерации Большой Челябинск.
"	е	к
281	282	емва	Емва	Коми	10994	"Е́мва — город (с 1985 года) в Республике Коми Российской Федерации. Административный центр Княжпогостского района, образует городское поселение «Емва».
"	е	а
282	283	енисейск	Енисейск	Красноярский край	17537	"Енисе́йск — город в Красноярском крае России, административный центр Енисейского района (в который не входит). 
"	е	к
283	284	ермолино	Ермолино	Калужская область	10809	"Ермо́лино — город в Боровском районе Калужской области России.
"	е	о
284	285	ершов	Ершов	Саратовская область	18095	"Ершо́в — город (с 1963) в России, административный центр Ершовского района Саратовской области. Расположен у истока реки Малый Узень, в 178 км к востоку от Саратова. Население — 18 095[1] чел. (2021).
"	е	в
285	286	ессентуки	Ессентуки	Ставропольский край	119658	"Ессентуки́ — город-курорт в Ставропольском крае[3]. Образует городской округ город-курорт Ессентуки.
"	е	и
286	287	ефремов	Ефремов	Тульская область	36545	"Ефре́мов — город (с 1777 года[2]) в Тульской области России.
"	е	в
287	288	железноводск	Железноводск	Ставропольский край	22863	"Железново́дск — город (с 1917) краевого значения в Ставропольском крае России. Город-курорт федерального значения. Административный центр городского округа город-курорт Железноводск.
"	ж	к
288	289	железногорск	Железногорск	Красноярский край	82723	"Железного́рск — город (с 1954) в Красноярском крае России. Административный центр закрытого административно-территориального образования (ЗАТО) и одноимённого городского округа.
"	ж	к
289	290	железногорск	Железногорск	Курская область	97038	"Железного́рск — город областного значения (с 1962 года[3]) на северо-западе Курской области России, административный центр Железногорского района (с 1965 года). В состав административного и муниципального района не входит, образует одноимённый городской округ.
"	ж	к
290	291	железногорск-илимский	Железногорск-Илимский	Иркутская область	21621	"Железного́рск-Или́мский — город (с 1965) в России, административный центр Нижнеилимского района Иркутской области.
"	ж	и
291	292	жердевка	Жердевка	Тамбовская область	13883	"Же́рдевка — город (с 1954[3]) в  Тамбовской области России. Административный центр Жердевского района. 
"	ж	а
292	293	жигулёвск	Жигулёвск	Самарская область	50466	"Жигулёвск — город в Самарской области Российской Федерации, расположенный на правом берегу среднего течения реки Волги, в северной части Национального парка «Самарская Лука» в долинах Жигулёвских гор. Входит в Самарско-Тольяттинскую агломерацию. Является центром одноимённого городского округа Жигулёвск.
"	ж	к
293	294	жиздра	Жиздра	Калужская область	5545	"Жи́здра — город в Калужской области России, административный центр Жиздринского района.
"	ж	а
294	295	жирновск	Жирновск	Волгоградская область	15555	"Жи́рновск — город (с 1958) в Волгоградской области России, административный центр Жирновского района и Жирновского городского поселения.
"	ж	к
295	296	жуков	Жуков	Калужская область	16224	"Жу́ков — город в Центральном федеральном округе Российской Федерации, административный центр Жуковского района Калужской области. 
"	ж	в
296	297	жуковка	Жуковка	Брянская область	17628	"Жу́ковка — город (с 1962 года[2]) в России, административный центр Жуковского района (как административно-территориальной единицы) и Жуковского муниципального округа (как муниципального образования) Брянской области.
"	ж	а
297	298	жуковский	Жуковский	Московская область	111222	"Жуко́вский — город в Московской области России. Наукоград. Город областного подчинения[5], образует одноимённый городской округ[6] как единственный населённый пункт в его составе.
Расположен в 20 км к юго-востоку от Москвы.
До 1947 г. имел статус посёлка и носил название Стаха́ново.
"	ж	и
298	299	завитинск	Завитинск	Амурская область	9615	"Завити́нск — город (с 1954) в Амурской области России, административный центр Завитинского района (муниципального округа) и городского поселения «Город Завитинск».
"	з	к
299	300	заводоуковск	Заводоуковск	Тюменская область	27100	"Заводоуко́вск — город в России, административный центр Заводоуковского района как административно-территориальной единицы и Заводоуковского городского округа как муниципального образования Тюменской области.
"	з	к
300	301	заволжск	Заволжск	Ивановская область	8896	"Заво́лжск — город (с 1954[2]) в России, административный центр Заволжского района Ивановской области.
"	з	к
301	302	заволжье	Заволжье	Нижегородская область	36763	"Заво́лжье — город (с 1964[2]) в Нижегородской области России
"	з	е
302	303	задонск	Задонск	Липецкая область	9887	"Задо́нск — город (с 1779 г.[3]) в России, административный центр Задонского района Липецкой области. Образует одноимённое муниципальное образование город Задонск со статусом городского поселения как единственный населённый пункт в его составе[4].
"	з	к
303	304	заинск	Заинск	Татарстан	39739	"Заи́нск[2] (тат. Зәй, Zəy) — город (с 1978 г.) в Республике Татарстан России. Административный центр Заинского района, в котором образует городское поселение город Заинск.
"	з	к
304	305	закаменск	Закаменск	Бурятия	11365	"Зака́менск (до 1959 года — Городо́к, бур. Захаамин хото) — город районного значения в России, административный центр Закаменского района Республики Бурятия и городского поселения «Город Закаменск». С 2015 года город имеет Почётное международное звание ""Город Трудовой Доблести и Славы""
"	з	к
305	306	заозёрный	Заозёрный	Красноярский край	10573	"Заозёрный — город (с 13 октября 1948 года), административный центр Рыбинского района Красноярского края.
"	з	н
306	307	заозёрск	Заозёрск	Мурманская область	7762	"Заозёрск (ранее также известен как посёлок Заозёрный, Североморск-7, Мурманск-150, Западная Ли́ца) — город в Мурманской области России. Находится близ губы Западная Лица Мотовского залива Баренцева моря.
"	з	к
307	308	западная двина	Западная Двина	Тверская область	7869	"За́падная Двина́ — город (с 1937[2]) в Тверской области России.
"	з	а
308	309	заполярный	Заполярный	Мурманская область	14791	"Заполя́рный — город (с 1963) в Печенгском районе Мурманской области России. Центр и до мая 2020 года единственный населённый пункт городского поселения Заполярный (упразднено с преобразованием Печенгского муниципального района в муниципальный округ[3]). Находится в 103 км к северо-западу от Мурманска[4].
"	з	н
309	310	зарайск	Зарайск	Московская область	20736	"Зара́йск — город в Московской области России, административный центр муниципального образования «город областного подчинения Зарайск» с административной территорией (до апреля 2017 года — Зарайского района)[2][3] и городского округа Зарайск (до января 2017 года — Зарайского муниципального района)[4].
"	з	к
